analyst_id,organization_id,name,role,team,experience_years,shift,status,joined_at
AN00032,ORG00895,Rahul Patel 00032,L1 Analyst,Incident Response,9,Evening,Active,2022-09-22
AN00033,ORG00900,Simran Gupta 00033,L1 Analyst,Incident Response,5,Evening,Active,2022-05-11
AN00034,ORG00817,Priya Kumar 00034,L1 Analyst,Monitoring,1,Morning,Active,2025-01-17
AN00035,ORG00055,Vikram Mehta 00035,L1 Analyst,Threat Detection,7,Morning,Active,2023-04-04
AN00036,ORG00029,Neha Mehta 00036,L1 Analyst,Threat Hunting,3,Morning,Active,2024-07-30
AN00037,ORG00591,Neha Mehta 00037,SOC Engineer,Threat Detection,10,Morning,Active,2023-11-24
AN00038,ORG00978,Vikram Joshi 00038,L3 Analyst,Monitoring,11,Night,Active,2025-06-07
AN00039,ORG00897,Rahul Malhotra 00039,L3 Analyst,Threat Detection,6,Evening,Active,2025-12-23
AN00040,ORG00858,Vikram Gupta 00040,SOC Engineer,Monitoring,12,Evening,Active,2024-05-17
AN00041,ORG00529,Rahul Verma 00041,SOC Engineer,Threat Detection,5,Morning,Active,2025-12-28
AN00042,ORG00876,Riya Patel 00042,SOC Engineer,Threat Detection,3,Evening,Active,2024-12-11
AN00043,ORG00314,Aman Singh 00043,L3 Analyst,Threat Detection,7,Evening,Active,2023-05-14
AN00044,ORG00539,Riya Singh 00044,L1 Analyst,Monitoring,6,Evening,Active,2025-12-16
AN00045,ORG00743,Vikram Patel 00045,L2 Analyst,Incident Response,4,Morning,Active,2022-02-08
AN00046,ORG00977,Vikram Singh 00046,SOC Engineer,Threat Detection,9,Morning,Active,2025-10-26
AN00047,ORG00405,Simran Das 00047,SOC Engineer,Incident Response,2,Morning,Active,2023-02-15
AN00048,ORG00137,Karan Das 00048,L2 Analyst,Threat Detection,7,Night,Active,2024-03-03
AN00049,ORG00027,Ananya Verma 00049,L2 Analyst,Monitoring,4,Evening,Active,2022-11-13
AN00050,ORG00685,Ananya Joshi 00050,L2 Analyst,Threat Hunting,1,Morning,Active,2024-09-01
AN00051,ORG00137,Ananya Patel 00051,L2 Analyst,Incident Response,4,Night,Active,2025-07-18
AN00052,ORG00266,Riya Mehta 00052,L2 Analyst,Incident Response,5,Evening,Active,2022-02-19
AN00053,ORG00163,Karan Singh 00053,SOC Engineer,Threat Hunting,10,Evening,Active,2025-02-18
AN00054,ORG00503,Aman Patel 00054,L3 Analyst,Threat Hunting,1,Morning,Active,2022-12-15
AN00055,ORG00672,Simran Mehta 00055,L2 Analyst,Threat Detection,12,Morning,Active,2023-12-19
AN00056,ORG00304,Karan Joshi 00056,L3 Analyst,Monitoring,9,Night,Active,2022-05-25
AN00057,ORG00349,Vikram Kumar 00057,L1 Analyst,Incident Response,7,Morning,Active,2022-03-02
AN00058,ORG00990,Ananya Gupta 00058,L1 Analyst,Threat Hunting,10,Evening,Active,2024-11-09
AN00059,ORG00092,Priya Malhotra 00059,SOC Engineer,Threat Detection,7,Night,Active,2024-12-09
AN00060,ORG00470,Karan Mehta 00060,L2 Analyst,Threat Hunting,2,Evening,Active,2022-02-12
AN00061,ORG00151,Riya Singh 00061,L3 Analyst,Incident Response,9,Night,Active,2023-02-16
AN00062,ORG00554,Riya Kumar 00062,L2 Analyst,Incident Response,2,Evening,Active,2022-06-20
AN00063,ORG00428,Rahul Mehta 00063,L1 Analyst,Threat Hunting,7,Evening,On Leave,2023-08-07
AN00064,ORG00625,Rahul Kumar 00064,SOC Engineer,Monitoring,9,Night,Active,2025-08-08
AN00065,ORG00632,Riya Sharma 00065,SOC Engineer,Monitoring,5,Evening,Active,2025-05-13
AN00066,ORG00283,Vikram Verma 00066,L1 Analyst,Threat Detection,6,Night,Active,2025-12-19
AN00067,ORG00976,Riya Patel 00067,L2 Analyst,Incident Response,4,Night,Active,2025-04-04
AN00068,ORG00777,Priya Verma 00068,L3 Analyst,Incident Response,6,Night,Active,2024-05-09
AN00069,ORG00191,Priya Gupta 00069,SOC Engineer,Threat Detection,11,Night,Active,2023-01-02
AN00070,ORG00481,Vikram Singh 00070,L1 Analyst,Threat Hunting,3,Evening,Active,2025-01-03
AN00071,ORG00887,Vikram Kumar 00071,L1 Analyst,Threat Detection,6,Morning,Active,2025-05-17
AN00072,ORG00161,Neha Verma 00072,L2 Analyst,Incident Response,10,Morning,Active,2023-05-13
AN00073,ORG00396,Priya Sharma 00073,SOC Engineer,Incident Response,7,Evening,Active,2025-07-26
AN00074,ORG00629,Ananya Verma 00074,L1 Analyst,Threat Hunting,2,Morning,Inactive,2023-03-09
AN00075,ORG00974,Vikram Mehta 00075,L3 Analyst,Threat Hunting,9,Morning,Active,2023-07-05
AN00076,ORG00322,Riya Malhotra 00076,SOC Engineer,Threat Hunting,6,Evening,Active,2025-11-07
AN00077,ORG00528,Priya Sharma 00077,L2 Analyst,Incident Response,6,Night,Active,2022-08-04
AN00078,ORG00308,Neha Verma 00078,L2 Analyst,Incident Response,5,Night,Active,2025-01-15
AN00079,ORG00503,Simran Patel 00079,L3 Analyst,Threat Hunting,8,Night,Active,2022-11-18
AN00080,ORG00822,Rahul Das 00080,L1 Analyst,Threat Hunting,2,Evening,Active,2024-09-17
AN00081,ORG00830,Arjun Mehta 00081,L1 Analyst,Incident Response,6,Evening,Active,2024-12-27
AN00082,ORG00021,Ananya Gupta 00082,L2 Analyst,Monitoring,2,Morning,Active,2025-02-13
AN00083,ORG00907,Ananya Sharma 00083,SOC Engineer,Incident Response,5,Night,Active,2023-11-26
AN00084,ORG00917,Vikram Kumar 00084,L2 Analyst,Incident Response,2,Morning,On Leave,2022-05-30
AN00085,ORG00778,Arjun Mehta 00085,L3 Analyst,Monitoring,7,Morning,Active,2022-09-26
AN00086,ORG00537,Ananya Sharma 00086,L3 Analyst,Monitoring,10,Morning,Active,2025-06-09
AN00087,ORG00095,Priya Das 00087,L1 Analyst,Threat Detection,5,Evening,Active,2024-01-12
AN00088,ORG00194,Karan Singh 00088,SOC Engineer,Threat Hunting,3,Evening,Active,2022-06-13
AN00089,ORG00482,Aman Sharma 00089,SOC Engineer,Threat Detection,11,Morning,Active,2024-09-03
AN00090,ORG00224,Simran Mehta 00090,L1 Analyst,Monitoring,7,Night,Active,2025-01-11
AN00091,ORG00461,Neha Kumar 00091,SOC Engineer,Monitoring,10,Morning,Active,2022-09-07
AN00092,ORG00519,Riya Malhotra 00092,L2 Analyst,Threat Detection,3,Evening,Active,2023-05-07
AN00093,ORG00420,Neha Joshi 00093,SOC Engineer,Threat Detection,1,Evening,Active,2026-01-14
AN00094,ORG00406,Priya Joshi 00094,L2 Analyst,Threat Hunting,1,Night,Active,2023-02-02
AN00095,ORG00478,Neha Verma 00095,SOC Engineer,Incident Response,3,Night,Active,2024-07-02
AN00096,ORG00159,Rahul Das 00096,L3 Analyst,Monitoring,10,Evening,On Leave,2024-11-24
AN00097,ORG00941,Ananya Sharma 00097,L3 Analyst,Monitoring,10,Night,Active,2025-04-29
AN00098,ORG00652,Riya Das 00098,L1 Analyst,Monitoring,11,Evening,Active,2022-05-02
AN00099,ORG00223,Arjun Patel 00099,L2 Analyst,Incident Response,6,Evening,Active,2025-02-08
AN00100,ORG00499,Simran Verma 00100,L1 Analyst,Monitoring,9,Morning,Active,2025-11-11
AN00101,ORG00106,Arjun Kumar 00101,L1 Analyst,Threat Detection,1,Night,Active,2025-04-22
AN00102,ORG00494,Priya Das 00102,L1 Analyst,Monitoring,7,Morning,Active,2024-04-26
AN00103,ORG00805,Aman Mehta 00103,SOC Engineer,Incident Response,4,Night,Active,2022-08-26
AN00104,ORG00333,Neha Verma 00104,L2 Analyst,Threat Hunting,1,Night,Active,2025-10-14
AN00105,ORG00519,Aman Joshi 00105,L1 Analyst,Threat Detection,12,Morning,Inactive,2023-12-07
AN00106,ORG00494,Karan Das 00106,L3 Analyst,Monitoring,10,Evening,Active,2024-04-27
AN00107,ORG00996,Ananya Das 00107,SOC Engineer,Incident Response,11,Night,Inactive,2022-09-09
AN00108,ORG00800,Ananya Singh 00108,L3 Analyst,Threat Hunting,8,Night,Active,2022-09-08
AN00109,ORG00259,Karan Patel 00109,SOC Engineer,Threat Detection,8,Evening,Active,2026-01-23
AN00110,ORG00021,Rahul Joshi 00110,L2 Analyst,Monitoring,10,Night,Active,2024-07-27
AN00111,ORG00598,Aman Kumar 00111,L1 Analyst,Incident Response,7,Evening,Active,2025-05-16
AN00112,ORG00518,Karan Kumar 00112,L2 Analyst,Monitoring,3,Evening,Active,2024-12-26
AN00113,ORG00821,Rahul Das 00113,SOC Engineer,Threat Detection,1,Evening,Active,2025-09-19
AN00114,ORG00764,Priya Gupta 00114,SOC Engineer,Incident Response,4,Morning,Active,2024-12-29
AN00115,ORG00972,Arjun Joshi 00115,L2 Analyst,Threat Hunting,9,Night,Active,2024-03-23
AN00116,ORG00129,Karan Singh 00116,L1 Analyst,Threat Hunting,10,Morning,Active,2022-08-01
AN00117,ORG00454,Arjun Malhotra 00117,L3 Analyst,Monitoring,11,Morning,Active,2024-06-22
AN00118,ORG00922,Simran Singh 00118,SOC Engineer,Threat Hunting,7,Night,Active,2025-10-23
AN00119,ORG00788,Aman Mehta 00119,L1 Analyst,Threat Detection,6,Night,Active,2023-08-25
AN00120,ORG00094,Arjun Singh 00120,L3 Analyst,Threat Detection,1,Morning,Active,2022-04-19
AN00121,ORG00584,Aman Mehta 00121,L3 Analyst,Threat Hunting,2,Evening,Active,2022-11-02
AN00122,ORG00220,Rahul Gupta 00122,L3 Analyst,Monitoring,5,Night,Active,2022-06-09
AN00123,ORG00451,Arjun Mehta 00123,SOC Engineer,Monitoring,1,Night,Active,2025-08-03
AN00124,ORG00068,Aman Kumar 00124,SOC Engineer,Threat Hunting,8,Evening,Active,2025-06-25
AN00125,ORG00034,Simran Joshi 00125,SOC Engineer,Incident Response,6,Night,Active,2026-01-11
AN00126,ORG00335,Arjun Malhotra 00126,L2 Analyst,Threat Hunting,5,Evening,Active,2022-01-09
AN00127,ORG00695,Rahul Mehta 00127,L3 Analyst,Threat Hunting,7,Evening,Active,2026-01-08
AN00128,ORG00001,Arjun Gupta 00128,L1 Analyst,Threat Detection,4,Night,Active,2025-06-17
AN00129,ORG00964,Aman Singh 00129,L3 Analyst,Threat Detection,7,Morning,Active,2025-04-12
AN00130,ORG00817,Arjun Gupta 00130,L1 Analyst,Threat Hunting,3,Morning,Active,2024-04-01
AN00131,ORG00385,Vikram Gupta 00131,L2 Analyst,Incident Response,5,Evening,Active,2023-06-20
AN00132,ORG00661,Karan Sharma 00132,L3 Analyst,Monitoring,6,Evening,Active,2022-06-09
AN00133,ORG00336,Vikram Malhotra 00133,L3 Analyst,Incident Response,6,Evening,Active,2023-04-27
AN00134,ORG00320,Karan Singh 00134,L3 Analyst,Threat Hunting,1,Night,Active,2022-09-16
AN00135,ORG00135,Ananya Sharma 00135,L2 Analyst,Monitoring,4,Morning,Active,2024-09-02
AN00136,ORG00109,Neha Patel 00136,L3 Analyst,Monitoring,1,Night,Active,2025-01-03
AN00137,ORG00787,Ananya Sharma 00137,L1 Analyst,Threat Detection,3,Night,Active,2023-04-04
AN00138,ORG00979,Aman Malhotra 00138,SOC Engineer,Incident Response,11,Night,Active,2023-08-28
AN00139,ORG00882,Ananya Gupta 00139,SOC Engineer,Threat Hunting,11,Night,Active,2023-06-08
AN00140,ORG00092,Arjun Verma 00140,L3 Analyst,Incident Response,8,Night,Active,2025-09-05
AN00141,ORG00311,Riya Sharma 00141,SOC Engineer,Incident Response,2,Morning,Active,2023-05-10
AN00142,ORG00862,Riya Das 00142,L3 Analyst,Threat Detection,5,Evening,Active,2025-08-13
AN00143,ORG00048,Neha Sharma 00143,L1 Analyst,Incident Response,3,Morning,Active,2022-10-13
AN00144,ORG00001,Aman Gupta 00144,SOC Engineer,Monitoring,6,Morning,Active,2023-12-01
AN00145,ORG00251,Karan Mehta 00145,SOC Engineer,Monitoring,10,Night,Active,2024-02-12
AN00146,ORG00364,Rahul Malhotra 00146,L2 Analyst,Incident Response,8,Morning,Active,2023-08-08
AN00147,ORG00431,Ananya Patel 00147,L2 Analyst,Threat Hunting,9,Night,Active,2024-08-06
AN00148,ORG00541,Ananya Malhotra 00148,SOC Engineer,Threat Detection,3,Evening,Inactive,2022-12-06
AN00149,ORG00046,Neha Mehta 00149,SOC Engineer,Incident Response,11,Night,Active,2024-09-10
AN00150,ORG00975,Simran Verma 00150,L3 Analyst,Monitoring,8,Evening,Active,2023-03-12
AN00151,ORG00325,Ananya Sharma 00151,L1 Analyst,Incident Response,4,Night,Active,2023-12-31
AN00152,ORG00658,Ananya Joshi 00152,L1 Analyst,Incident Response,8,Morning,Active,2023-08-25
AN00153,ORG00289,Rahul Patel 00153,L2 Analyst,Incident Response,2,Night,Active,2026-01-14
AN00154,ORG00954,Simran Malhotra 00154,L2 Analyst,Threat Hunting,1,Night,Active,2023-08-02
AN00155,ORG00659,Rahul Mehta 00155,L1 Analyst,Threat Hunting,4,Evening,On Leave,2022-12-12
AN00156,ORG00729,Priya Kumar 00156,L1 Analyst,Threat Detection,1,Evening,Active,2022-11-19
AN00157,ORG00610,Simran Verma 00157,L1 Analyst,Incident Response,7,Night,Active,2024-04-13
AN00158,ORG00391,Ananya Malhotra 00158,SOC Engineer,Threat Detection,6,Night,Active,2023-12-21
AN00159,ORG00064,Ananya Sharma 00159,L1 Analyst,Incident Response,9,Night,Inactive,2025-03-01
AN00160,ORG00892,Simran Gupta 00160,L3 Analyst,Monitoring,2,Night,Active,2024-09-26
AN00161,ORG00342,Karan Kumar 00161,L2 Analyst,Threat Hunting,10,Morning,Active,2024-09-30
AN00162,ORG00231,Simran Mehta 00162,L1 Analyst,Monitoring,8,Morning,Active,2023-01-10
AN00163,ORG00644,Karan Gupta 00163,L3 Analyst,Threat Hunting,3,Night,Active,2022-11-06
AN00164,ORG00141,Aman Singh 00164,L1 Analyst,Threat Hunting,10,Evening,Active,2022-07-17
AN00165,ORG00931,Karan Verma 00165,SOC Engineer,Monitoring,5,Evening,Active,2025-06-09
AN00166,ORG00501,Vikram Verma 00166,SOC Engineer,Threat Hunting,4,Evening,Active,2024-12-01
AN00167,ORG00697,Karan Patel 00167,L2 Analyst,Threat Detection,12,Evening,On Leave,2025-01-15
AN00168,ORG00946,Karan Verma 00168,SOC Engineer,Threat Hunting,8,Night,Active,2022-03-10
AN00169,ORG00186,Vikram Kumar 00169,L1 Analyst,Threat Detection,10,Night,Active,2025-05-12
AN00170,ORG00143,Neha Singh 00170,L1 Analyst,Threat Hunting,6,Evening,Active,2024-03-04
AN00171,ORG00057,Aman Verma 00171,SOC Engineer,Threat Hunting,10,Evening,Active,2024-01-24
AN00172,ORG00602,Ananya Singh 00172,SOC Engineer,Monitoring,7,Night,Inactive,2025-08-28
AN00173,ORG00617,Arjun Malhotra 00173,SOC Engineer,Monitoring,2,Morning,Active,2024-04-05
AN00174,ORG00242,Vikram Mehta 00174,L2 Analyst,Threat Hunting,8,Evening,Active,2024-07-08
AN00175,ORG00445,Simran Das 00175,L2 Analyst,Threat Hunting,3,Morning,Active,2024-07-18
AN00176,ORG00350,Ananya Verma 00176,L3 Analyst,Monitoring,7,Night,Active,2023-04-09
AN00177,ORG00717,Aman Mehta 00177,SOC Engineer,Monitoring,9,Morning,Active,2022-07-05
AN00178,ORG00931,Arjun Patel 00178,SOC Engineer,Threat Hunting,5,Night,Active,2022-12-22
AN00179,ORG00645,Aman Das 00179,L2 Analyst,Monitoring,7,Evening,Active,2025-08-22
AN00180,ORG00882,Vikram Patel 00180,SOC Engineer,Threat Detection,6,Night,Active,2023-05-21
AN00181,ORG00036,Simran Kumar 00181,SOC Engineer,Incident Response,6,Evening,Active,2023-09-03
AN00182,ORG00973,Karan Singh 00182,L1 Analyst,Threat Hunting,4,Night,Active,2022-01-29
AN00183,ORG00843,Arjun Das 00183,L3 Analyst,Monitoring,4,Night,Active,2023-08-10
AN00184,ORG00295,Ananya Kumar 00184,SOC Engineer,Threat Detection,7,Morning,Active,2022-12-29
AN00185,ORG00736,Vikram Verma 00185,L2 Analyst,Threat Hunting,6,Morning,Active,2025-02-15
AN00186,ORG00875,Karan Verma 00186,SOC Engineer,Monitoring,3,Morning,Active,2025-09-25
AN00187,ORG00594,Rahul Joshi 00187,SOC Engineer,Incident Response,8,Evening,On Leave,2024-06-09
AN00188,ORG00982,Riya Verma 00188,L2 Analyst,Incident Response,6,Evening,Active,2025-09-18
AN00189,ORG00436,Neha Sharma 00189,L3 Analyst,Threat Detection,1,Night,Active,2024-03-23
AN00190,ORG00151,Priya Gupta 00190,L2 Analyst,Threat Detection,4,Evening,Active,2023-02-07
AN00191,ORG00803,Neha Joshi 00191,L3 Analyst,Monitoring,3,Night,Inactive,2025-10-04
AN00192,ORG00001,Neha Verma 00192,L3 Analyst,Incident Response,2,Morning,Active,2025-06-29
AN00193,ORG00184,Arjun Patel 00193,SOC Engineer,Threat Hunting,9,Morning,Active,2025-07-19
AN00194,ORG00607,Neha Joshi 00194,L1 Analyst,Threat Hunting,4,Night,Active,2024-09-20
AN00195,ORG00855,Vikram Malhotra 00195,L3 Analyst,Threat Detection,5,Night,Active,2025-04-14
AN00196,ORG00853,Riya Verma 00196,L1 Analyst,Monitoring,2,Morning,On Leave,2024-03-26
AN00197,ORG00564,Priya Patel 00197,L3 Analyst,Threat Detection,7,Night,Active,2022-01-04
AN00198,ORG00016,Priya Das 00198,SOC Engineer,Incident Response,7,Night,On Leave,2022-02-10
AN00199,ORG00453,Simran Mehta 00199,L1 Analyst,Threat Hunting,9,Morning,Active,2023-04-23
AN00200,ORG00200,Riya Patel 00200,L3 Analyst,Threat Hunting,5,Morning,Inactive,2025-12-04
AN00201,ORG00313,Rahul Patel 00201,L2 Analyst,Incident Response,5,Morning,Active,2025-12-22
AN00202,ORG00375,Rahul Das 00202,L2 Analyst,Threat Hunting,4,Evening,Active,2023-04-23
AN00203,ORG00959,Karan Malhotra 00203,L1 Analyst,Threat Hunting,8,Evening,Active,2023-05-05
AN00204,ORG00232,Aman Joshi 00204,L1 Analyst,Incident Response,4,Night,Active,2025-11-29
AN00205,ORG00467,Simran Sharma 00205,SOC Engineer,Monitoring,9,Evening,Active,2022-11-04
AN00206,ORG00993,Aman Das 00206,SOC Engineer,Threat Hunting,1,Morning,Active,2023-08-09
AN00207,ORG00678,Priya Joshi 00207,L2 Analyst,Threat Hunting,4,Night,Active,2022-07-26
AN00208,ORG00667,Karan Kumar 00208,L1 Analyst,Incident Response,6,Night,Active,2023-11-20
AN00209,ORG00028,Arjun Singh 00209,SOC Engineer,Monitoring,1,Evening,Active,2023-01-26
AN00210,ORG00793,Karan Joshi 00210,L2 Analyst,Monitoring,10,Night,Active,2025-08-10
AN00211,ORG00051,Arjun Malhotra 00211,L2 Analyst,Threat Hunting,2,Morning,Active,2023-11-19
AN00212,ORG00034,Karan Kumar 00212,L1 Analyst,Incident Response,11,Evening,Active,2025-04-30
AN00213,ORG00317,Neha Das 00213,L3 Analyst,Threat Detection,6,Night,Inactive,2022-05-19
AN00214,ORG00671,Simran Singh 00214,L2 Analyst,Threat Detection,11,Evening,Active,2024-10-13
AN00215,ORG00640,Neha Gupta 00215,L3 Analyst,Incident Response,7,Morning,Inactive,2022-11-27
AN00216,ORG00693,Karan Patel 00216,SOC Engineer,Incident Response,5,Morning,Active,2024-04-30
AN00217,ORG00045,Ananya Gupta 00217,L3 Analyst,Monitoring,4,Morning,Active,2022-12-06
AN00218,ORG00331,Simran Das 00218,L3 Analyst,Threat Detection,2,Evening,Active,2022-02-14
AN00219,ORG00482,Ananya Gupta 00219,L2 Analyst,Threat Detection,3,Morning,Inactive,2024-04-29
AN00220,ORG00643,Rahul Sharma 00220,SOC Engineer,Incident Response,3,Morning,Active,2022-09-08
AN00221,ORG00235,Aman Kumar 00221,L1 Analyst,Incident Response,12,Morning,Active,2022-07-16
AN00222,ORG00073,Arjun Das 00222,L1 Analyst,Threat Hunting,2,Evening,Active,2026-01-13
AN00223,ORG00208,Neha Das 00223,L2 Analyst,Threat Detection,12,Evening,Active,2025-07-17
AN00224,ORG00108,Karan Singh 00224,L2 Analyst,Monitoring,4,Evening,Active,2025-01-29
AN00225,ORG00118,Rahul Joshi 00225,L3 Analyst,Threat Detection,9,Night,Active,2023-07-16
AN00226,ORG00850,Priya Mehta 00226,L2 Analyst,Threat Hunting,2,Morning,Active,2025-09-18
AN00227,ORG00226,Aman Verma 00227,L2 Analyst,Threat Detection,12,Morning,Active,2025-10-07
AN00228,ORG00535,Simran Singh 00228,L1 Analyst,Threat Hunting,4,Morning,Active,2025-01-18
AN00229,ORG00311,Ananya Verma 00229,SOC Engineer,Threat Hunting,11,Evening,Active,2024-01-22
AN00230,ORG00217,Simran Sharma 00230,L1 Analyst,Threat Hunting,10,Evening,Active,2022-03-24
AN00231,ORG00140,Simran Mehta 00231,L3 Analyst,Threat Detection,3,Night,Active,2024-06-10
AN00232,ORG00288,Neha Patel 00232,L3 Analyst,Monitoring,10,Evening,Active,2024-11-22
AN00233,ORG00292,Arjun Singh 00233,SOC Engineer,Monitoring,1,Evening,Active,2023-04-27
AN00234,ORG00624,Aman Singh 00234,L1 Analyst,Threat Hunting,2,Evening,Active,2026-01-19
AN00235,ORG00782,Vikram Verma 00235,L2 Analyst,Threat Hunting,11,Morning,On Leave,2022-06-06
AN00236,ORG00159,Rahul Singh 00236,L1 Analyst,Monitoring,7,Night,Active,2023-06-23
AN00237,ORG00507,Neha Das 00237,L3 Analyst,Monitoring,7,Morning,Active,2023-09-12
AN00238,ORG00966,Priya Malhotra 00238,SOC Engineer,Incident Response,4,Morning,Active,2024-12-04
AN00239,ORG00677,Aman Kumar 00239,L3 Analyst,Threat Detection,2,Morning,Active,2024-07-19
AN00240,ORG00039,Karan Mehta 00240,L3 Analyst,Threat Hunting,6,Night,Active,2022-05-23
AN00241,ORG00483,Riya Patel 00241,SOC Engineer,Threat Detection,1,Evening,Active,2024-07-15
AN00242,ORG00933,Priya Sharma 00242,L3 Analyst,Threat Hunting,8,Morning,Active,2022-10-16
AN00243,ORG00865,Riya Verma 00243,SOC Engineer,Threat Detection,4,Morning,Active,2025-10-15
AN00244,ORG00556,Aman Joshi 00244,L2 Analyst,Monitoring,1,Evening,Active,2023-09-07
AN00245,ORG00554,Neha Sharma 00245,L2 Analyst,Threat Hunting,12,Morning,Active,2024-03-17
AN00246,ORG00359,Simran Sharma 00246,L1 Analyst,Incident Response,12,Evening,On Leave,2023-12-06
AN00247,ORG00523,Simran Kumar 00247,L1 Analyst,Threat Detection,5,Night,Active,2023-03-10
AN00248,ORG00954,Riya Mehta 00248,SOC Engineer,Threat Detection,5,Night,Active,2023-09-22
AN00249,ORG00110,Ananya Singh 00249,L3 Analyst,Threat Hunting,12,Night,Active,2023-01-14
AN00250,ORG00015,Vikram Mehta 00250,SOC Engineer,Threat Detection,7,Evening,Active,2022-01-12
AN00251,ORG00124,Ananya Joshi 00251,L3 Analyst,Threat Detection,7,Night,Active,2023-06-18
AN00252,ORG00804,Priya Verma 00252,L1 Analyst,Threat Detection,8,Morning,Active,2024-07-15
AN00253,ORG00736,Priya Das 00253,L2 Analyst,Threat Detection,3,Evening,Active,2025-05-12
AN00254,ORG00600,Arjun Singh 00254,SOC Engineer,Threat Hunting,11,Morning,Active,2023-10-06
AN00255,ORG00725,Simran Mehta 00255,L1 Analyst,Monitoring,11,Night,Active,2022-05-19
AN00256,ORG00086,Ananya Joshi 00256,SOC Engineer,Threat Hunting,12,Evening,On Leave,2025-10-26
AN00257,ORG00491,Priya Singh 00257,SOC Engineer,Monitoring,5,Morning,Active,2024-04-03
AN00258,ORG00328,Karan Malhotra 00258,L1 Analyst,Incident Response,8,Night,Active,2023-09-16
AN00259,ORG00660,Karan Joshi 00259,L1 Analyst,Incident Response,3,Night,Active,2023-04-17
AN00260,ORG00153,Karan Gupta 00260,L2 Analyst,Threat Hunting,10,Morning,Active,2025-08-08
AN00261,ORG00306,Rahul Sharma 00261,L1 Analyst,Incident Response,2,Evening,Active,2024-05-05
AN00262,ORG00444,Neha Verma 00262,L1 Analyst,Monitoring,10,Morning,Active,2023-12-15
AN00263,ORG00609,Arjun Patel 00263,SOC Engineer,Threat Hunting,7,Evening,Active,2022-04-04
AN00264,ORG00812,Karan Mehta 00264,SOC Engineer,Monitoring,5,Night,Active,2025-06-11
